Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,400.279999,401.554993,390.329987,392.239990,380.612457,99632149
2022-09-06,393.130005,394.119995,388.420013,390.760010,379.176331,76637400
2022-09-07,390.429993,398.589996,390.200012,397.779999,385.988190,70964232
2022-09-08,395.390015,400.859985,394.119995,400.380005,388.511139,80821681
2022-09-09,402.739990,407.510010,402.459991,406.600006,394.546783,76706918
2022-09-12,408.779999,411.730011,408.459991,410.970001,398.787262,69256262
2022-09-13,401.829987,403.100006,391.920013,393.100006,381.446960,122947081
2022-09-14,394.470001,396.200012,391.119995,394.600006,382.902496,85023747
2022-09-15,392.959991,395.959991,388.779999,390.119995,378.555298,87633840
2022-09-16,384.140015,386.250000,382.109985,385.559998,375.667725,103084819
2022-09-19,382.260010,388.549988,382.178406,388.549988,378.581024,73278490
2022-09-20,385.059998,386.119995,381.195007,384.089996,374.235443,77274882
2022-09-21,386.109985,389.309998,377.380005,377.390015,367.707397,106746554
2022-09-22,376.579987,378.299988,373.440002,374.220001,364.618713,89472641
2022-09-23,370.579987,370.619995,363.290009,367.950012,358.509552,122346933
2022-09-26,366.410004,370.209991,363.029907,364.309998,354.962982,92581244
2022-09-27,368.019989,370.399994,360.869995,363.380005,354.056793,108294074
2022-09-28,364.380005,372.299988,362.600006,370.529999,361.023346,110802217
2022-09-29,366.809998,367.109985,359.700012,362.790009,353.481934,112952315
2022-09-30,361.799988,365.910004,357.040009,357.179993,348.015839,153711243
2022-10-03,361.079987,368.549988,359.209991,366.609985,357.203949,89756479
2022-10-04,372.399994,378.000000,366.567688,377.970001,368.272491,103602775
2022-10-05,373.390015,379.459991,370.950012,377.089996,367.415039,88065669
2022-10-06,375.619995,378.720001,372.679993,373.200012,363.624817,82333543
2022-10-07,368.970001,373.293304,360.940002,362.790009,353.481934,107789498
2022-10-10,363.959991,364.209991,357.670013,360.019989,350.782990,76042765
2022-10-11,358.234985,363.029999,355.709991,357.739990,348.561523,92482785
2022-10-12,358.170013,359.817902,356.299988,356.559998,347.411743,76991799
2022-10-13,349.204987,367.510010,348.109985,365.970001,356.580353,147254518
2022-10-14,368.549988,370.260010,356.959991,357.630005,348.454315,123737013
2022-10-17,364.010010,367.979889,357.280792,366.820007,357.408539,93168231
2022-10-18,375.130005,375.450012,367.519989,371.130005,361.607941,97162850
2022-10-19,368.989990,371.850006,365.549988,368.500000,359.045410,79746863
2022-10-20,368.029999,372.670013,364.609985,365.410004,356.034729,88283087
2022-10-21,365.119995,374.799988,363.540009,374.290009,364.686890,131038379
2022-10-24,375.890015,380.059998,373.109985,378.869995,369.149384,85436907
2022-10-25,378.790009,385.250000,378.670990,384.920013,375.044159,78846348
2022-10-26,381.619995,387.579987,381.350006,382.019989,372.218536,104087348
2022-10-27,383.070007,385.000000,379.329987,379.980011,370.230896,81971756
2022-10-28,379.869995,389.519989,379.679993,389.019989,379.038940,100301958
2022-10-31,386.440002,388.399994,385.260010,386.209991,376.300995,96631258
2022-11-01,390.140015,390.390015,383.290009,384.519989,374.654388,85407598
2022-11-02,383.899994,388.630005,374.760010,374.869995,365.252014,126990356
2022-11-03,371.464996,374.200012,368.790009,371.010010,361.491028,87100115
2022-11-04,377.000000,378.869995,370.000000,376.350006,366.694031,103505182
2022-11-07,377.709991,380.570007,375.529999,379.950012,370.201691,68286947
2022-11-08,381.109985,385.119995,377.720001,382.000000,372.199127,84641062
2022-11-09,379.929993,381.140015,373.609985,374.130005,364.531006,78495470
2022-11-10,388.049988,395.040009,385.641998,394.690002,384.563477,141455847
2022-11-11,395.589996,399.350006,393.609985,398.510010,388.285492,93839872
2022-11-14,396.660004,400.179901,394.829987,395.119995,384.982422,71893165
2022-11-15,401.149994,402.309998,394.489990,398.489990,388.265991,93194452
2022-11-16,396.779999,397.779999,394.790009,395.450012,385.304016,68508454
2022-11-17,390.459991,394.950012,390.140015,394.239990,384.125031,74496255
2022-11-18,397.739990,397.809998,393.040009,396.029999,385.869080,92922451
2022-11-21,394.640015,395.820007,392.660004,394.589996,384.466034,51243189
2022-11-22,396.630005,400.070007,395.152710,399.899994,389.639862,60429025
2022-11-23,399.549988,402.929993,399.309998,402.420013,392.095154,68261628
2022-11-25,401.829987,402.910004,401.535004,402.329987,392.007446,30545434
2022-11-28,399.089996,400.809998,395.109985,395.910004,385.752197,68021749
2022-11-29,396.049988,397.299988,393.299988,395.230011,385.089661,52310039
2022-11-30,395.489990,407.679993,393.480011,407.679993,397.220215,144566653
2022-12-01,408.769989,410.000000,404.750000,407.380005,396.927917,75474975
2022-12-02,402.250000,407.859985,402.140015,406.910004,396.469940,85342731
2022-12-05,403.950012,404.929993,398.170013,399.589996,389.337769,77289815
2022-12-06,399.420013,399.989990,391.640015,393.829987,383.725525,77972217
2022-12-07,392.940002,395.640015,391.970001,393.160004,383.072754,65927896
2022-12-08,395.140015,397.359985,393.268402,396.239990,386.073700,60737912
2022-12-09,394.940002,397.619995,393.149994,393.279999,383.189667,81447733
2022-12-12,394.109985,398.950012,393.411987,398.950012,388.714233,75405835
2022-12-13,410.220001,410.489990,399.070007,401.970001,391.656708,123782534
2022-12-14,401.609985,405.500000,396.309998,399.399994,389.152649,108111349
2022-12-15,394.299988,395.250000,387.885010,389.630005,379.633331,117705889
2022-12-16,385.179993,386.575012,381.040009,383.269989,375.151672,119857952
2022-12-19,383.470001,383.820007,378.279999,380.019989,371.970551,79878103
2022-12-20,379.230011,382.230011,377.850006,380.540009,372.479523,74427240
2022-12-21,383.250000,387.410004,382.690002,386.230011,378.048981,78167369
2022-12-22,383.049988,386.213409,374.769989,380.720001,372.655731,100120855
2022-12-23,379.649994,383.059998,378.029999,382.910004,374.799316,59857329
2022-12-27,382.790009,383.149994,379.649994,381.399994,373.321320,51638180
2022-12-28,381.329987,383.390015,376.420013,376.660004,368.681702,70911520
2022-12-29,379.630005,384.350006,379.079987,383.440002,375.318085,66970877
2022-12-30,380.640015,382.579987,378.429993,382.429993,374.329468,84022205
2023-01-03,384.369995,386.429993,377.830994,380.820007,372.753601,74850731
